contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor
648354_2012_2_modesto_CA_Mayor_mayor_1,27693,2012,modesto city,Mayor,California,1,0.539128488285331,0.531079175447214,0.540530956714971,2,1,12.40385657025241,146935,48.1,51.9,78.3,5.4,36.5,8.8,18.847109266001976,11.897745591101105,none,0,0.5369128734825053,1,0,0,1,NA,1
650258_2012_11_napa_CA_City Council_synthetic at-large a_2,49896,2012,napa city,City Council,California,1,0.680429502748306,0.69949544590787,0.71642210029348,11,1,3.1341107871720117,58329,50.3,49.7,87.9,1,37.9,2.8,85.54235457491129,10.973854675763935,president,0,0.6987823496498854,0,1,0,0,1,1
650258_2012_11_napa_CA_Mayor_mayor_1,29157,2012,napa city,Mayor,California,1,0.680429502748306,0.69949544590787,0.71642210029348,11,1,22.564049799362074,58329,50.3,49.7,87.9,1,37.9,2.8,49.98714190196986,10.973854675763935,president,0,0.6987823496498854,1,1,0,1,1,1
655184_2012_11_palm desert_CA_City Council_synthetic at-large a_3,37675,2012,palm desert city,City Council,California,1,0.460505747126437,0.489599458204334,0.538575990709827,11,1,3.6882479288125194,41275,47.3,52.7,86.1,2.3,19.5,6.3,91.27801332525742,10.628012268788328,president,0,0.49622706534686606,0,1,0,0,NA,0
657456_2012_11_pittsburg_CA_City Council_synthetic at-large a_2,26814,2012,pittsburg city,City Council,California,1,0.785752688172043,0.809656900539707,0.780006978367062,11,1,16.412089697757555,46794,48.9,51.1,42.9,21,41.2,18.1,57.30221823310681,10.753510268558554,president,0,0.791805522359604,0,1,0,0,NA,0
658072_2012_11_pomona_CA_Mayor_mayor_1,29225,2012,pomona city,Mayor,California,1,0.758156578112889,0.784773993293241,0.72644059466765,11,1,22.027704597603467,105456,48.9,51.1,63.8,9.1,70.1,9.2,27.712979820967988,11.566049083292501,president,0,0.7564570553579267,1,1,0,1,NA,1
659920_2012_11_redding_CA_City Council_synthetic at-large a_2,52116,2012,redding city,City Council,California,1,0.381735351102267,0.330934458322993,0.368130466049598,11,1,16.277044495849776,69468,48.7,51.3,90.7,1.8,9.2,4.4,75.02159267576438,11.148621493867005,president,0,0.3602667584916193,0,1,0,0,NA,0
660466_2012_11_rialto_CA_City Council_synthetic at-large a_2,30420,2012,rialto city,City Council,California,1,0.736879714172291,0.774634680003126,0.718330405787609,11,1,6.133569889747814,66141,49.9,50.1,62.7,16.4,69,3.8,45.99265206150497,11.09954410586509,president,0,0.7432815999876753,0,1,0,0,1,1
660466_2012_11_rialto_CA_Mayor_mayor_1,20998,2012,rialto city,Mayor,California,1,0.736879714172291,0.774634680003126,0.718330405787609,11,0,14.420420992475474,66141,49.9,50.1,62.7,16.4,69,3.8,31.747327678746917,11.09954410586509,president,0,0.7432815999876753,1,1,0,1,1,1
669000_2012_11_santa ana_CA_Mayor_mayor_1,56231,2012,santa ana city,Mayor,California,1,0.670860602370927,0.779095358063302,0.698623179008343,11,1,28.742842207807637,226201,50.5,49.5,45.9,1.5,79,10.2,24.85886446125349,12.329179263520874,president,0,0.7161930464808574,1,1,0,1,NA,1
681554_2012_11_vacaville_CA_City Council_synthetic at-large a_2,52165,2012,vacaville city,City Council,California,1,0.54727582292849,0.528973730090718,0.52874292086677,11,1,16.880998682642243,70702,53.8,46.2,71.2,12.4,22.4,8.4,73.78150547367825,11.16622914002769,president,0,0.534997491295326,0,1,0,0,1,1
685292_2012_4_whittier_CA_City Council_synthetic at-large a_3,20580,2012,whittier city,City Council,California,1,0.597963372276602,0.650529309527571,0.641721727472948,4,1,0.224517287831163,64085,49,51,60,1.3,66,5.2,32.11359912616057,11.067965606163924,none,0,0.6300714697590403,0,0,0,0,0,1
686328_2012_6_woodland_CA_City Council_synthetic at-large a_3,20993,2012,woodland city,City Council,California,1,0.57783989030693,0.632939092377429,0.640281950543101,6,1,7.429886982000837,41418,49.1,50.9,74.3,1.8,47.5,7,50.68569221111594,10.631470847931531,none,0,0.61702031107582,0,0,0,0,NA,0
1230000_2013_11_hialeah_FL_Mayor_mayor_1,18256,2013,hialeah city,Mayor,Florida,0,0.359791444023446,0.498377928341755,0.327025900565645,11,1,67.62012436404748,187550,47.6,52.4,94.5,2.3,95.1,0.5,9.733937616635565,12.141800755510033,none,0,0.39506509097694864,1,0,0,1,NA,1
1245000_2013_11_miami_FL_Mayor_mayor_1,26169,2013,miami city,Mayor,Florida,1,0.608076882680391,0.705214823053742,0.596543778801843,11,1,77.84553730888182,331970,49.9,50.1,75.9,20.3,70.3,1.1,7.882941229629184,12.712799882370001,none,0,0.6366118281786587,1,0,0,1,NA,1
1756640_2013_4_orland park_IL_Mayor_mayor_1,4346,2013,orland park village,Mayor,Illinois,1,0.471034088745001,0.447377442577991,0.4757333166552,4,1,100,45574,46.5,53.5,90.8,2.8,6.2,6.7,9.536139026637995,10.72709265745205,none,0,0.464714949326064,1,0,0,1,NA,1
1973335_2013_11_sioux city_IA_City Council_synthetic at-large b_3,18434,2013,sioux city city,City Council,Iowa,1,0.477215560105294,0.44558093346574,0.474094141550965,11,0,1.3516609392898054,60945,49.5,50.5,84.2,4.9,17.2,3.4,30.246943965870866,11.017727097089937,none,0,0.465630211707333,0,0,0,0,1,1
2053775_2013_4_overland park_KS_Mayor_mayor_1,6229,2013,overland park city,Mayor,Kansas,1,0.462492182442589,0.503125971469034,0.561805226518934,4,1,100,133587,48.3,51.7,86.8,5.9,6.3,7.8,4.662878872944224,11.802508229960985,none,0,0.5091411268101856,1,0,0,1,NA,1
2071000_2013_4_topeka_KS_Mayor_mayor_1,10951,2013,topeka city,Mayor,Kansas,1,0.550494174810888,0.553690226369603,0.587079755289892,4,0,32.754999543420695,96600,48.1,51.9,82.1,13.9,13.6,2.2,11.336438923395445,11.47833402020061,none,0,0.5637547188234611,1,0,0,1,NA,1
2208920_2013_4_bossier city_LA_Mayor_mayor_1,1,2013,bossier city city,Mayor,Louisiana,0,0.353473322768093,0.392052384926494,0.448901797059357,4,1,100,47520,47.8,52.2,68.4,28.4,6.9,2.9,0.0021043771043771043,10.768905954036526,none,0,0.39814250158464803,1,0,0,1,NA,1
2537490_2013_11_lynn_MA_Mayor_mayor_1,15661,2013,lynn city,Mayor,Massachusetts,1,0.699292981548543,0.70417791898332,0.702881409068886,11,1,18.229998084413513,67718,48.1,51.9,63,17.2,32.7,7.4,23.126790513600522,11.123107302438243,none,0,0.7021174365335829,1,0,0,1,NA,1
2674900_2013_11_southfield_MI_Mayor_mayor_1,9966,2013,southfield city,Mayor,Michigan,1,0.889890851173467,0.892974753018661,0.877868068833652,11,1,100,57083,44.7,55.3,26.5,72.7,1.6,2.2,17.45878808051434,10.952261628023255,none,0,0.8869112243419267,1,0,0,1,NA,1
2686000_2013_11_westland_MI_Mayor_mayor_1,5634,2013,westland city,Mayor,Michigan,0,0.659933627740469,0.587671348078379,0.598543834263534,11,1,100,65729,46.8,53.2,78.1,18.4,2.6,3.9,8.57155897701167,11.093295507388659,none,0,0.6153829366941274,1,0,0,1,NA,1
2915670_2013_4_columbia_MO_Mayor_mayor_1,12832,2013,columbia city,Mayor,Missouri,1,0.608972176935342,0.614026046105968,0.665579597295762,4,1,21.773690773067333,90091,47.3,52.7,81.7,12.5,3.7,6.3,14.243376141900969,11.408575549594982,none,0,0.6295259401123573,1,0,0,1,NA,1
3451000_2013_11_newark_NJ_Mayor_mayor_1,1,2013,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,11,0,100,206586,50,50,31.2,55.7,34.1,1.8,4.8405990725412177e-4,12.238472069576833,midterm,1,0.9182101997304514,1,0,1,1,1,1
3702140_2013_11_asheville_NC_City Council_at-large b_3,32521,2013,asheville city,City Council,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,1,1.068988318271986,68422,47.5,52.5,84.5,13.4,6.8,1.9,47.53003419952647,11.133449689323314,none,0,0.7809024036829454,0,0,0,0,1,1
3702140_2013_11_asheville_NC_Mayor_mayor_1,12131,2013,asheville city,Mayor,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,0,37.51545626906273,68422,47.5,52.5,84.5,13.4,6.8,1.9,17.729677589079536,11.133449689323314,none,0,0.7809024036829454,1,0,0,1,1,1
3774440_2013_11_wilmington_NC_City Council_synthetic at-large b_3,22854,2013,wilmington city,City Council,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,1.8572825024437927,88644,47.6,52.4,76.5,20.6,5.6,1.7,25.78177880059564,11.392383627316738,none,0,0.5675857558953027,0,0,0,0,1,1
3774440_2013_11_wilmington_NC_Mayor_mayor_1,6744,2013,wilmington city,Mayor,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,100,88644,47.6,52.4,76.5,20.6,5.6,1.7,7.607959929606064,11.392383627316738,none,0,0.5675857558953027,1,0,0,1,1,1
3915000_2013_11_cincinnati_OH_Mayor_mayor_1,57716,2013,cincinnati city,Mayor,Ohio,1,0.754824251682543,0.780373070026315,0.78724507944036,11,1,15.836163282278743,231218,47.9,52.1,53.2,45.3,3.1,2.4,24.96172443321887,12.351116267421123,none,0,0.7741474670497394,1,0,0,1,NA,1
4714000_2013_3_chattanooga_TN_Mayor_mayor_1,17789,2013,chattanooga city,Mayor,Tennessee,0,0.505216412689722,0.562444612732224,0.589840324085031,3,0,50.6830122591944,134224,47.9,52.1,60.6,35.4,5.4,2.5,13.253218500417214,11.807265325086076,none,0,0.552500449835659,1,0,0,1,NA,1
4824000_2013_6_el paso_TX_Mayor_mayor_1,44762,2013,el paso city,Mayor,Texas,1,0.654364766929319,0.718874742997211,0.681157006190208,6,0,48.64840713104866,472712,48.2,51.8,83.7,4,80,1.8,9.469190543079083,13.066241602539073,none,0,0.6847988387055793,1,0,0,1,NA,1
4848072_2013_11_midland_TX_Mayor_mayor_1,13627,2013,midland city,Mayor,Texas,1,0.230103009725499,0.231023102310231,0.236808051761323,11,0,38.49509269356598,83836,48.9,51.1,83.2,8.6,39,1.7,16.25435373825087,11.33661778849305,none,0,0.23264472126568433,1,0,0,1,0,1
622230_2013_11_el monte_CA_City Council_synthetic at-large b_2,7138,2013,el monte city,City Council,California,1,0.758067402326275,0.818789383234676,0.716352912937626,11,1,9.38162203814294,85051,50.2,49.8,47.1,0.9,66.3,28.2,8.392611491928372,11.35100635554442,none,0,0.764403232832859,0,0,0,0,1,1
622230_2013_11_el monte_CA_Mayor_mayor_1,4543,2013,el monte city,Mayor,California,1,0.758067402326275,0.818789383234676,0.716352912937626,11,1,30.618534008364517,85051,50.2,49.8,47.1,0.9,66.3,28.2,5.341500981763883,11.35100635554442,none,0,0.764403232832859,1,0,0,1,1,1
644000_2013_5_los angeles_CA_Mayor_mayor_1,409909,2013,los angeles city,Mayor,California,0,0.795885053415068,0.827342780032484,0.78129834964421,5,0,8.463097907096452,2960462,49.7,50.3,55.1,10.3,48.6,12.7,13.846115910286978,14.90085589520194,none,0,0.801508727697254,1,0,0,1,NA,1
646898_2013_11_merced_CA_City Council_synthetic at-large b_3,18020,2013,merced city,City Council,California,1,0.582907380903701,0.6161478795205,0.619076503146561,11,1,8.694474539544963,54661,48.8,51.2,61.9,7.1,48.9,13.4,32.96683192769982,10.908905754228723,none,0,0.606043921190254,0,0,0,0,1,1
646898_2013_11_merced_CA_Mayor_mayor_1,7209,2013,merced city,Mayor,California,1,0.582907380903701,0.6161478795205,0.619076503146561,11,1,5.340546539048412,54661,48.8,51.2,61.9,7.1,48.9,13.4,13.188562229011543,10.908905754228723,none,0,0.606043921190254,1,0,0,1,1,1
652526_2013_3_norwalk_CA_City Council_synthetic at-large b_2,8372,2013,norwalk city,City Council,California,1,0.707017543859649,0.778230076780514,0.709035937269554,3,1,1.0498687664041995,78015,49.9,50.1,52.7,4.8,71.2,12.7,10.731269627635712,11.264656394875283,none,0,0.7314278526365724,0,0,0,0,NA,0
655156_2013_11_palmdale_CA_City Council_synthetic at-large b_2,15245,2013,palmdale city,City Council,California,1,0.62821910129854,0.661098228155886,0.64619527734901006,11,1,13.620604259534423,103452,48.7,51.3,45.8,16.2,54.7,5.6,14.736302826431583,11.546863015997925,none,0,0.6451708689344787,0,0,0,0,1,1
655156_2013_11_palmdale_CA_Mayor_mayor_1,9396,2013,palmdale city,Mayor,California,1,0.62821910129854,0.661098228155886,0.64619527734901006,11,1,48.61650181545011,103452,48.7,51.3,45.8,16.2,54.7,5.6,9.082473030970885,11.546863015997925,none,0,0.6451708689344787,1,0,0,1,1,1
660102_2013_11_redwood city_CA_City Council_synthetic at-large b_3,19941,2013,redwood city city,City Council,California,1,0.75912808404339,0.817807682257643,0.823401419751407,11,1,4.984894259818731,58626,49.7,50.3,77,3.2,40.1,13.2,34.013918739125984,10.978933563172399,none,0,0.8001123953508134,0,0,0,0,NA,0
673262_2013_11_south san francisco_CA_City Council_synthetic at-large b_1,5676,2013,south san francisco city,City Council,California,1,0.766231989786613,0.814805046375665,0.782600039816843,11,1,37.60789149198521,50140,49.8,50.2,44.2,3.3,35.4,38.8,11.320303151176706,10.822574371712284,none,0,0.7878790253263737,0,0,0,0,NA,0
673262_2013_11_south san francisco_CA_City Council_synthetic at-large b_3,15496,2013,south san francisco city,City Council,California,1,0.766231989786613,0.814805046375665,0.782600039816843,11,1,7.306247866165927,50140,49.8,50.2,44.2,3.3,35.4,38.8,30.90546469884324,10.822574371712284,none,0,0.7878790253263737,0,0,0,0,NA,0
681666_2013_11_vallejo_CA_City Council_synthetic at-large b_1,13545,2013,vallejo city,City Council,California,1,0.76100096158249,0.807709569640453,0.781404341666986,11,1,11.68146259998242,90576,47.9,52.1,46.8,23.6,24.3,27.9,14.954292527821938,11.41394455627644,none,0,0.783371624296643,0,0,0,0,1,1
681666_2013_11_vallejo_CA_City Council_synthetic at-large b_3,35714,2013,vallejo city,City Council,California,1,0.76100096158249,0.807709569640453,0.781404341666986,11,0,5.887496356747304,90576,47.9,52.1,46.8,23.6,24.3,27.9,39.429871047518105,11.41394455627644,none,0,0.783371624296643,0,0,0,0,1,1
952000_2013_11_new haven_CT_Mayor_mayor_1,20788,2013,new haven city,Mayor,Connecticut,1,0.884686722460982,0.888301221508626,0.8538469058559,11,0,9.322686165095247,101630,47.5,52.5,46.6,36.3,25.8,5.6,20.45459018006494,11.529094046131812,none,0,0.8756116166085026,1,0,0,1,NA,1
980000_2013_11_waterbury_CT_Mayor_mayor_1,11538,2013,waterbury city,Mayor,Connecticut,0,0.638029361942405,0.607515210811141,0.603778337531486,11,1,54.03045685279188,82406,47.6,52.4,63.6,22.9,33.8,1.8,14.00140766449045,11.319413528780622,none,0,0.6164409700950108,1,0,0,1,NA,1
1304204_2014_5_augusta-richmond county_GA_City Council_synthetic at-large c_1,27532,2014,augusta-richmond county consolidated government (balance),City Council,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,5,0,59.74477958236659,149058,48.4,51.6,41,57,4.4,2.4,18.470662426706383,11.912090770929865,none,0,0.6560324262344106,0,0,0,0,1,1
1304204_2014_5_augusta-richmond county_GA_Mayor_mayor_1,27532,2014,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,5,0,59.74477958236659,149058,48.4,51.6,41,57,4.4,2.4,18.470662426706383,11.912090770929865,none,0,0.6560324262344106,1,0,0,1,1,1
2603000_2014_11_ann arbor_MI_Mayor_mayor_1,33132,2014,ann arbor city,Mayor,Michigan,1,0.8246810941169,0.875647215225301,0.885432874836622,11,0,68.94844862972353,99317,49.9,50.1,75.8,9.4,4.6,16.7,33.359847760202186,11.506072033769213,midterm,1,0.8619203947262744,1,0,1,1,NA,1
2708794_2014_11_burnsville_MN_City Council_synthetic at-large c_2,27169,2014,burnsville city,City Council,Minnesota,1,0.540344180032632,0.564032971451548,0.616331877729258,11,0,1.5161745749186668,46862,49.3,50.7,77.4,13.6,8.9,5.7,57.97661218044471,10.754962391475377,midterm,1,0.5735696764044792,0,0,1,0,1,1
2717288_2014_11_eagan_MN_Mayor_mayor_1,18680,2014,eagan city,Mayor,Minnesota,0,0.556295317933098,0.596122171814951,0.648506821868142,11,0,100,49144,50.1,49.9,83.4,7.1,4.7,9.1,38.01074393618753,10.802510042843764,midterm,1,0.6003081038720637,1,0,1,1,NA,1
2735180_2014_11_lakeville_MN_Mayor_mayor_1,15251,2014,lakeville city,Mayor,Minnesota,0,0.448431997316787,0.43567758509955,0.495098398728762,11,0,100,40011,49.2,50.8,91.7,2.7,3.6,5.6,38.11701782009948,10.596909695290504,midterm,1,0.459735993715033,1,0,1,1,1,1
3451000_2014_5_newark_NJ_City Council_synthetic at-large c_4,99083,2014,newark city,City Council,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,1,6.081616481774961,207050,49.9,50.1,28.4,53.9,34.8,2.2,47.85462448683893,12.240715588973714,none,0,0.9182101997304514,0,0,0,0,1,1
3451000_2014_5_newark_NJ_Mayor_mayor_1,44951,2014,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,0,8.375786968031857,207050,49.9,50.1,28.4,53.9,34.8,2.2,21.710214923931417,12.240715588973714,none,0,0.9182101997304514,1,0,0,1,1,1
3825700_2014_6_fargo_ND_Mayor_mayor_1,13751,2014,fargo city,Mayor,North Dakota,1,0.552027406042151,0.490412731892047,0.542139277235558,6,1,12.44273143771362,88969,49.7,50.3,91.5,3.9,2.8,3.5,15.455945329271994,11.396043273431912,none,0,0.5281931383899187,1,0,0,1,NA,1
423620_2014_11_flagstaff_AZ_Mayor_mayor_1,15417,2014,flagstaff city,Mayor,Arizona,1,0.626453211358872,0.67115169586284,0.692409014116771,11,1,12.693779593954725,54262,49.6,50.4,77,3.1,18.8,3.7,28.4121484648557,10.901579445098683,midterm,1,0.6633379737794943,1,0,1,1,NA,1
4419180_2014_11_cranston_RI_City Council_synthetic at-large c_3,62153,2014,cranston city,City Council,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,4.1638283378746594,65038,49.6,50.4,84.8,6.2,11.5,6.1,95.56413173836835,11.082726993441389,midterm,1,0.5746240467689313,0,0,1,0,1,1
4459000_2014_11_providence_RI_Mayor_mayor_1,38335,2014,providence city,Mayor,Rhode Island,0,0.834484019935074,0.854650722773027,0.819127778961574,11,1,7.288457932660113,138038,48.3,51.7,53.6,18.6,40.4,7,27.771338327127314,11.835284288552938,midterm,1,0.8360875072232249,1,0,1,1,NA,1
4845000_2014_5_lubbock_TX_Mayor_mayor_1,1,2014,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,1,100,181351,48.9,51.1,80.3,9.1,33.2,3.1,5.514168656362523e-4,12.108189658894908,none,0,0.34665769847743394,1,0,0,1,NA,1
4848072_2014_5_midland_TX_City Council_synthetic at-large c_1,2265,2014,midland city,City Council,Texas,1,0.230103009725499,0.231023102310231,0.236808051761323,5,0,32.803532008830025,86791,49,51,82.5,8.8,40.4,1.8,2.60971759744674,11.371258208636666,none,0,0.23264472126568433,0,0,0,0,0,1
5157000_2014_5_norfolk_VA_Mayor_mayor_1,15676,2014,norfolk city,Mayor,Virginia,1,0.712487081894487,0.725714285714286,0.733247613304052,5,1,62.98978778880278,194494,52.1,47.9,50.7,44.7,7.1,4.5,8.059888736927617,12.17815659323577,none,0,0.7238163269709417,1,0,0,1,NA,1
541000_2014_11_little rock_AR_Mayor_mayor_1,52046,2014,little rock city,Mayor,Arkansas,1,0.43649422168759,0.693844715201188,0.708625316833159,11,1,100,149002,47.4,52.6,53.4,43,5.8,3.6,34.929732486812256,11.911715007656303,midterm,1,0.612988084573979,1,0,1,1,1,1
602252_2014_11_antioch_CA_City Council_synthetic at-large c_2,27317,2014,antioch city,City Council,California,1,0.699933753852357,0.736044086982425,0.732662586411871,11,0,2.9636173801301102,77608,48.8,51.2,55,20.8,34,14.5,35.19869085661272,11.25942579364112,midterm,1,0.722880142415551,0,0,1,0,1,1
602462_2014_4_arcadia_CA_City Council_synthetic at-large c_3,15260,2014,arcadia city,City Council,California,1,0.525364474858673,0.601359140828833,0.606329275018029,4,0,2.8978388998035363,44924,46.8,53.2,33.3,1.5,12.7,60.8,33.96848009972398,10.712727452082927,none,0,0.577684296901845,0,0,0,0,NA,0
614890_2014_11_colton_CA_Mayor_mayor_1,5336,2014,colton city,Mayor,California,1,0.698407718252412,0.735365949736075,0.684306035239712,11,0,24.137931034482758,36026,49.8,50.2,61,9,72.4,4.5,14.811525009715206,10.491996178983504,midterm,1,0.706026567742733,1,0,1,1,NA,1
622678_2014_11_encinitas_CA_City Council_synthetic at-large c_1,16690,2014,encinitas city,City Council,California,1,0.623877507534017,0.667748235887097,0.684101370833123,11,0,10.927765617107257,48229,49.4,50.6,91.2,0.7,13.9,6.6,34.60573513860955,10.783715778865067,midterm,1,0.6585757047514124,0,0,1,0,1,1
622804_2014_11_escondido_CA_Mayor_mayor_1,27432,2014,escondido city,Mayor,California,1,0.458388003748828,0.522029430195121,0.561552923783966,11,1,25.170697835898622,108742,49.3,50.7,83.6,3,48.8,7,25.226683342222877,11.596733383026633,midterm,1,0.5139901192426384,1,0,1,1,1,1
629504_2014_11_gilroy_CA_City Council_synthetic at-large c_3,19711,2014,gilroy city,City Council,California,1,0.684926822596088,0.697460672833323,0.689423305118266,11,1,4.378889144964277,35718,49.5,50.5,73.2,2.6,59,7.7,55.18506075368161,10.483410042381445,midterm,1,0.690603600182559,0,0,1,0,1,1
636770_2014_11_irvine_CA_City Council_at-large a_2,73471,2014,irvine city,City Council,California,1,0.584730367353906,0.656538031840611,0.657066910063331,11,1,0.193665643714805,178971,49.2,50.8,55.5,2.8,9.9,42.6,41.05190226349521,12.09497906052448,midterm,1,0.6327784364192827,0,0,1,0,0,1
636770_2014_11_irvine_CA_Mayor_mayor_1,40411,2014,irvine city,Mayor,California,1,0.584730367353906,0.656538031840611,0.657066910063331,11,1,2.668496065858371,178971,49.2,50.8,55.5,2.8,9.9,42.6,22.57963580691844,12.09497906052448,midterm,1,0.6327784364192827,1,0,1,1,0,1
650258_2014_11_napa_CA_City Council_synthetic at-large c_2,33274,2014,napa city,City Council,California,1,0.680429502748306,0.69949544590787,0.71642210029348,11,1,0.5586072060329578,59753,49.7,50.3,85.4,1.2,38.9,3.2,55.68590698374977,10.997974677738338,midterm,1,0.6987823496498854,0,0,1,0,1,1
655184_2014_11_palm desert_CA_City Council_synthetic at-large c_2,20310,2014,palm desert city,City Council,California,1,0.460505747126437,0.489599458204334,0.538575990709827,11,1,13.470616405555175,41365,46.3,53.7,86,1.7,24.9,7.1,49.09948023691527,10.630190391624284,midterm,1,0.49622706534686606,0,0,1,0,NA,0
656784_2014_11_petaluma_CA_City Council_synthetic at-large c_3,34208,2014,petaluma city,City Council,California,1,0.758853541416567,0.770701374942067,0.770959324635457,11,1,4.389384983021004,45143,48.1,51.9,83.2,1.5,23.4,6.2,75.7769753893184,10.71759050806569,midterm,1,0.7668380803313637,0,0,1,0,1,1
656784_2014_11_petaluma_CA_Mayor_mayor_1,14003,2014,petaluma city,Mayor,California,1,0.758853541416567,0.770701374942067,0.770959324635457,11,1,1.5068199671498965,45143,48.1,51.9,83.2,1.5,23.4,6.2,31.019205635425205,10.71759050806569,midterm,1,0.7668380803313637,1,0,1,1,1,1
657456_2014_11_pittsburg_CA_City Council_synthetic at-large c_3,21501,2014,pittsburg city,City Council,California,1,0.785752688172043,0.809656900539707,0.780006978367062,11,1,1.056533827618165,49078,47.5,52.5,40.4,21,40.2,19.3,43.809853702269855,10.801166148198302,midterm,1,0.791805522359604,0,0,1,0,NA,0
659920_2014_11_redding_CA_City Council_synthetic at-large c_3,69305,2014,redding city,City Council,California,1,0.381735351102267,0.330934458322993,0.368130466049598,11,1,11.330893746085122,70368,49.2,50.8,89.9,2.3,8.6,5.1,98.48937016825829,11.161493893354487,midterm,1,0.3602667584916193,0,0,1,0,NA,0
660466_2014_11_rialto_CA_City Council_synthetic at-large c_2,8760,2014,rialto city,City Council,California,1,0.736879714172291,0.774634680003126,0.718330405787609,11,0,5.177111716621253,68765,49.9,50.1,63.4,16.4,71.6,3,12.739038755180687,11.138450173548808,midterm,1,0.7432815999876753,0,0,1,0,1,1
660466_2014_11_rialto_CA_City Council_synthetic at-large c_3,6009,2014,rialto city,City Council,California,1,0.736879714172291,0.774634680003126,0.718330405787609,11,1,64.95257114328507,68765,49.9,50.1,63.4,16.4,71.6,3,8.738457063913328,11.138450173548808,midterm,1,0.7432815999876753,0,0,1,0,1,1
669000_2014_11_santa ana_CA_Mayor_mayor_1,33170,2014,santa ana city,Mayor,California,1,0.670860602370927,0.779095358063302,0.698623179008343,11,1,18.26953889976856,234084,50.1,49.9,48.6,1.5,78.6,11,14.170126962970558,12.363435304282932,midterm,1,0.7161930464808574,1,0,1,1,NA,1
669084_2014_11_santa clara_CA_Mayor_mayor_1,21380,2014,santa clara city,Mayor,California,1,0.724522791279858,0.784163142464261,0.759563529535201,11,1,39.27970065481759,93058,50.8,49.2,49.8,4.2,19.1,41.9,22.974918867802877,11.44097823365684,midterm,1,0.7560831544264399,1,0,1,1,NA,1
670000_2014_11_santa monica_CA_City Council_at-large b_3,59367,2014,santa monica city,City Council,California,1,0.82151151403229,0.848656084656085,0.829300077829463,11,1,4.515463917525773,78863,47.8,52.2,83.8,5,14.5,11.7,75.27864778159594,11.27546744880796,midterm,1,0.8331558921726128,0,0,1,0,NA,0
681554_2014_11_vacaville_CA_City Council_synthetic at-large c_2,29322,2014,vacaville city,City Council,California,1,0.54727582292849,0.528973730090718,0.52874292086677,11,1,3.4434223093550496,72680,53.3,46.7,71.9,11.4,23.6,9.8,40.34397358282884,11.193821522510108,midterm,1,0.534997491295326,0,0,1,0,1,1
681554_2014_11_vacaville_CA_Mayor_mayor_1,19760,2014,vacaville city,Mayor,California,1,0.54727582292849,0.528973730090718,0.52874292086677,11,1,13.487162820929477,72680,53.3,46.7,71.9,11.4,23.6,9.8,27.18767198679141,11.193821522510108,midterm,1,0.534997491295326,1,0,1,1,1,1
685292_2014_4_whittier_CA_City Council_synthetic at-large c_2,9628,2014,whittier city,City Council,California,1,0.597963372276602,0.650529309527571,0.641721727472948,4,1,2.523431867339582,65304,48.5,51.5,60.5,1.5,66.9,5.1,14.743354159010169,11.086808569131192,none,0,0.6300714697590403,0,0,0,0,0,1
686328_2014_6_woodland_CA_City Council_synthetic at-large c_2,11836,2014,woodland city,City Council,California,1,0.57783989030693,0.632939092377429,0.640281950543101,6,1,8.837656099903938,41783,49.5,50.5,73.8,1.9,47.7,7.7,28.32731015006103,10.640244837223964,none,0,0.61702031107582,0,0,0,0,NA,0
1714000_2015_4_chicago_IL_Mayor_mayor_1,590733,2015,chicago city,Mayor,Illinois,0,0.861763339177313,0.870783569275384,0.838905094905095,4,1,12.460620957352983,2114088,48.5,51.5,50.6,32.3,29.1,6.8,27.942687343194795,14.564134071792855,none,0,0.8571506677859307,1,0,0,1,NA,1
1805860_2015_11_bloomington_IN_Mayor_mayor_1,8070,2015,bloomington city,Mayor,Indiana,0,0.755401351474198,0.78289886066148,0.80499599902585,11,0,54.845105328376704,73220,49.8,50.2,84.7,6,4.1,10.7,11.021578803605573,11.201223886674228,none,0,0.7810987370538426,1,0,0,1,NA,1
1827000_2015_11_gary_IN_Mayor_mayor_1,9683,2015,gary city,Mayor,Indiana,0,0.970764486121907,0.950217066400968,0.928521972875005,11,1,63.949378634135215,57359,45,55,14,83.6,5.8,0.8,16.881396119179204,10.957085041369789,none,0,0.9498345084659601,1,0,0,1,NA,1
