contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor
636770_2010_11_irvine_CA_City Council_at-large a_2,94075,2010,irvine city,City Council,California,1,0.584730367353906,0.656538031840611,0.657066910063331,11,1,2.8889146299084905,157066,49.5,50.5,57.1,2.5,9,40.3,59.89520329033655,11.964421378160223,midterm,1,0.6327784364192827,0,0,1,0,0,1
636770_2010_11_irvine_CA_Mayor_mayor_1,54017,2010,irvine city,Mayor,California,1,0.584730367353906,0.656538031840611,0.657066910063331,11,1,28.233704204232,157066,49.5,50.5,57.1,2.5,9,40.3,34.391275005411735,11.964421378160223,midterm,1,0.6327784364192827,1,0,1,1,0,1
650258_2010_11_napa_CA_City Council_synthetic at-large c_2,37498,2010,napa city,City Council,California,1,0.680429502748306,0.69949544590787,0.71642210029348,11,1,1.1583744777819978,57409,50.6,49.4,87.5,1.2,37.1,3.2,65.31728474629413,10.957956364441785,midterm,1,0.6987823496498854,0,0,1,0,1,1
655184_2010_11_palm desert_CA_City Council_synthetic at-large c_2,25303,2010,palm desert city,City Council,California,1,0.460505747126437,0.489599458204334,0.538575990709827,11,1,10.121244069583552,40594,48.6,51.4,87.9,2.2,21.3,3.8,62.33187170517811,10.611375551417572,midterm,1,0.49622706534686606,0,0,1,0,NA,0
656784_2010_11_petaluma_CA_Mayor_mayor_1,21586,2010,petaluma city,Mayor,California,1,0.758853541416567,0.770701374942067,0.770959324635457,11,1,6.8035426731078905,43421,49.2,50.8,85.6,1.6,23.3,6.1,49.7132723797241,10.678698474028431,midterm,1,0.7668380803313637,1,0,1,1,1,1
669000_2010_11_santa ana_CA_Mayor_mayor_1,43652,2010,santa ana city,Mayor,California,1,0.670860602370927,0.779095358063302,0.698623179008343,11,1,29.747272891186103,223902,51.3,48.7,45.1,1.5,78.1,10.4,19.4960295129119,12.318963735106129,midterm,1,0.7161930464808574,1,0,1,1,NA,1
669084_2010_11_santa clara_CA_Mayor_mayor_1,24055,2010,santa clara city,Mayor,California,1,0.724522791279858,0.784163142464261,0.759563529535201,11,0,26.85928081479942,88278,50.2,49.8,49.3,3.6,17.8,40.5,27.24914474727565,11.388246204926002,midterm,1,0.7560831544264399,1,0,1,1,NA,1
670000_2010_11_santa monica_CA_City Council_at-large a_4,48047,2010,santa monica city,City Council,California,1,0.82151151403229,0.848656084656085,0.829300077829463,11,1,8.793232826250085,76667,48.9,51.1,80.2,5.2,11.5,11.5,62.669727522923814,11.247226647053857,midterm,1,0.8331558921726128,0,0,1,0,NA,0
670000_2010_11_santa monica_CA_City Council_at-large b_3,75035,2010,santa monica city,City Council,California,1,0.82151151403229,0.848656084656085,0.829300077829463,11,1,5.8370044052863435,76667,48.9,51.1,80.2,5.2,11.5,11.5,97.87131360298433,11.247226647053857,midterm,1,0.8331558921726128,0,0,1,0,NA,0
681554_2010_11_vacaville_CA_City Council_synthetic at-large c_2,42591,2010,vacaville city,City Council,California,1,0.54727582292849,0.528973730090718,0.52874292086677,11,0,4.481569875364625,70579,54.2,45.8,71.3,12.1,21.2,8.4,60.345145156491306,11.164487928809253,midterm,1,0.534997491295326,0,0,1,0,1,1
681554_2010_11_vacaville_CA_Mayor_mayor_1,24643,2010,vacaville city,Mayor,California,1,0.54727582292849,0.528973730090718,0.52874292086677,11,0,1.7246276833177778,70579,54.2,45.8,71.3,12.1,21.2,8.4,34.915484775924845,11.164487928809253,midterm,1,0.534997491295326,1,0,1,1,1,1
685292_2010_4_whittier_CA_City Council_synthetic at-large c_2,13462,2010,whittier city,City Council,California,1,0.597963372276602,0.650529309527571,0.641721727472948,4,1,6.583588055490242,62709,48.7,51.3,59.8,1.2,65.3,3.9,21.467412971024892,11.046260256989893,none,0,0.6300714697590403,0,0,0,0,0,1
686328_2010_6_woodland_CA_City Council_synthetic at-large c_2,13774,2010,woodland city,City Council,California,1,0.57783989030693,0.632939092377429,0.640281950543101,6,1,7.028380634390651,40253,49.5,50.5,71.7,1.8,43.7,7.1,34.21856756018185,10.602939814230668,none,0,0.61702031107582,0,0,0,0,NA,0
937000_2010_6_hartford_CT_Mayor_mayor_1,1,2010,hartford city,Mayor,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,6,0,100,90847,48.6,51.4,34,39.3,42,3.1,0.0011007518134886127,11.416932051815145,none,0,0.906031120235734,1,0,0,1,1,1
1230000_2011_11_hialeah_FL_Mayor_mayor_1,30853,2011,hialeah city,Mayor,Florida,0,0.359791444023446,0.498377928341755,0.327025900565645,11,1,21.680225585842543,183880,48,52,93.7,2.4,94.9,0.5,16.77887752882315,12.122038649920164,none,0,0.39506509097694864,1,0,0,1,NA,1
1714000_2011_2_chicago_IL_Mayor_mayor_1,590391,2011,chicago city,Mayor,Illinois,0,0.861763339177313,0.870783569275384,0.838905094905095,2,0,39.58922831129333,2069527,48.6,51.4,46.4,34.1,28.1,5.9,28.527823024294925,14.542830636715438,none,0,0.8571506677859307,1,0,0,1,NA,1
1805860_2011_11_bloomington_IN_Mayor_mayor_1,3969,2011,bloomington city,Mayor,Indiana,0,0.755401351474198,0.78289886066148,0.80499599902585,11,1,100,70884,50.3,49.7,85.4,5.4,3.3,9.2,5.599288979177247,11.168800017095236,none,0,0.7810987370538426,1,0,0,1,NA,1
1827000_2011_11_gary_IN_Mayor_mayor_1,13316,2011,gary city,Mayor,Indiana,0,0.970764486121907,0.950217066400968,0.928521972875005,11,0,84.02889245585875,60381,45.5,54.5,13.9,84.7,3.8,0.5,22.0532949106507,11.008429764899107,none,0,0.9498345084659601,1,0,0,1,NA,1
1840788_2011_11_lafayette_IN_City Council_synthetic at-large d_1,21723,2011,lafayette city,City Council,Indiana,0,0.597614221113363,0.495025681365971,0.536683022571148,11,1,2.356902356902357,50799,48.6,51.4,88.9,7.5,11.2,1.9,42.76265280812615,10.83563194833345,none,0,0.543107641683494,0,0,0,0,1,1
1840788_2011_11_lafayette_IN_Mayor_mayor_1,6074,2011,lafayette city,Mayor,Indiana,0,0.597614221113363,0.495025681365971,0.536683022571148,11,1,100,50799,48.6,51.4,88.9,7.5,11.2,1.9,11.956928285989882,10.83563194833345,none,0,0.543107641683494,1,0,0,1,1,1
1851876_2011_11_muncie_IN_Mayor_mayor_1,13857,2011,muncie city,Mayor,Indiana,0,0.665879574970484,0.540547118380062,0.548430015965939,11,0,12.910442375694595,57675,47.4,52.6,88,10.6,2.3,1.9,24.0260078023407,10.962579083041954,none,0,0.5849522364388283,1,0,0,1,NA,1
1973335_2011_11_sioux city_IA_Mayor_mayor_1,10492,2011,sioux city city,Mayor,Iowa,1,0.477215560105294,0.44558093346574,0.474094141550965,11,0,1.0484178421654593,60455,49.1,50.9,82.8,4.6,15.9,3.4,17.35505748077082,11.009654565608347,none,0,0.465630211707333,1,0,0,1,1,1
2079000_2011_4_wichita_KS_Mayor_mayor_1,24679,2011,wichita city,Mayor,Kansas,0,0.4755298008442,0.456367895039552,0.496969333253316,4,1,39.51942947445196,277557,49.2,50.8,77,13.1,14.5,5.6,8.891506969739549,12.53378159648123,none,0,0.476289009712356,1,0,0,1,NA,1
2545000_2011_11_new bedford_MA_Mayor_mayor_1,18915,2011,new bedford city,Mayor,Massachusetts,0,0.752100840336134,0.668358007643148,0.621278957669948,11,0,4.425059476605869,72227,46.8,53.2,81.3,10.7,15.1,1.4,26.18826754537777,11.187569216193685,none,0,0.6805792685497433,1,0,0,1,1,1
2634000_2011_11_grand rapids_MI_Mayor_mayor_1,17360,2011,grand rapids city,Mayor,Michigan,1,0.664308194704087,0.675904452690167,0.714555984150174,11,1,62.8110599078341,142164,48.7,51.3,69.9,23.9,15.8,2.2,12.211248980051208,11.86473659974276,none,0,0.684922877181476,1,0,0,1,NA,1
3702140_2011_11_asheville_NC_City Council_at-large a_3,39354,2011,asheville city,City Council,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,1,3.2897064025468694,66347,47.5,52.5,83.3,14.4,6.3,1.7,59.31541742656036,11.102653823967977,none,0,0.7809024036829454,0,0,0,0,1,1
3774440_2011_11_wilmington_NC_City Council_synthetic at-large d_3,31045,2011,wilmington city,City Council,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,1.4823907090926258,85695,47.5,52.5,74.5,22,5.5,1.3,36.22731781317463,11.358549759826673,none,0,0.5675857558953027,0,0,0,0,1,1
3774440_2011_11_wilmington_NC_Mayor_mayor_1,11219,2011,wilmington city,Mayor,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,42.57955254479009,85695,47.5,52.5,74.5,22,5.5,1.3,13.091778983604643,11.358549759826673,none,0,0.5675857558953027,1,0,0,1,1,1
3925256_2011_11_elyria_OH_Mayor_mayor_1,13197,2011,elyria city,Mayor,Ohio,0,0.650897295475609,0.564294815250417,0.549272879047494,11,0,37.53125710388725,41626,47.8,52.2,84.4,16.4,4.3,1,31.70374285302455,10.636480251018197,none,0,0.5881549965911734,1,0,0,1,NA,1
4263624_2011_11_reading_PA_Mayor_mayor_1,7830,2011,reading city,Mayor,Pennsylvania,0,0.814846954875355,0.806429922252574,0.728532212404564,11,0,16.832694763729247,60769,48.3,51.7,56.9,15.2,55.9,1.5,12.884859056426798,11.014835069506102,none,0,0.783269696510831,1,0,0,1,NA,1
455000_2011_11_phoenix_AZ_Mayor_mayor_1,146878,2011,phoenix city,Mayor,Arizona,1,0.510066382710353,0.577146284739215,0.603115229125516,11,0,12.200601860047113,1041822,50.4,49.6,79.6,7.1,40.1,3.8,14.098185678551614,13.856481661367248,none,0,0.5634426321916947,1,0,0,1,NA,1
4550875_2011_11_north charleston_SC_Mayor_mayor_1,7841,2011,north charleston city,Mayor,South Carolina,0,0.621082836215359,0.626045682217502,0.657308046077701,11,0,56.07703099094503,71823,50.2,49.8,47.5,47.2,11.1,2.8,10.917115687175418,11.181960038002089,none,0,0.6348121881701874,1,0,0,1,NA,1
4748000_2011_10_memphis_TN_Mayor_mayor_1,73881,2011,memphis city,Mayor,Tennessee,0,0.760758553138109,0.776561938029945,0.779222209981271,10,1,40.03295369139157,482288,47.6,52.4,32.2,63.6,6.2,1.9,15.318855123909364,13.086296724967934,none,0,0.7721809003831083,1,0,0,1,NA,1
622230_2011_11_el monte_CA_City Council_synthetic at-large d_2,10542,2011,el monte city,City Council,California,1,0.758067402326275,0.818789383234676,0.716352912937626,11,1,0.17583521728208992,82894,49.6,50.4,39.8,1,68.5,25.5,12.717446377301131,11.325317962147034,none,0,0.764403232832859,0,0,0,0,1,1
622230_2011_11_el monte_CA_Mayor_mayor_1,5679,2011,el monte city,Mayor,California,1,0.758067402326275,0.818789383234676,0.716352912937626,11,1,16.745905969360802,82894,49.6,50.4,39.8,1,68.5,25.5,6.850918039906387,11.325317962147034,none,0,0.764403232832859,1,0,0,1,1,1
646898_2011_11_merced_CA_City Council_synthetic at-large d_3,17306,2011,merced city,City Council,California,1,0.582907380903701,0.6161478795205,0.619076503146561,11,1,0.9047940580688724,53156,48.2,51.8,58.8,7.7,49.6,12.6,32.55700203175559,10.880986265451398,none,0,0.606043921190254,0,0,0,0,1,1
646898_2011_11_merced_CA_Mayor_mayor_1,6926,2011,merced city,Mayor,California,1,0.582907380903701,0.6161478795205,0.619076503146561,11,1,4.545454545454546,53156,48.2,51.8,58.8,7.7,49.6,12.6,13.02957333132666,10.880986265451398,none,0,0.606043921190254,1,0,0,1,1,1
648354_2011_11_modesto_CA_Mayor_mayor_1,23964,2011,modesto city,Mayor,California,1,0.539128488285331,0.531079175447214,0.540530956714971,11,0,17.49574011982631,144553,48.2,51.8,78.9,5.1,35.7,8.6,16.5780025319433,11.881401501293468,none,0,0.5369128734825053,1,0,0,1,NA,1
652526_2011_3_norwalk_CA_City Council_synthetic at-large d_3,14752,2011,norwalk city,City Council,California,1,0.707017543859649,0.778230076780514,0.709035937269554,3,1,0.7736461192912403,76782,51,49,51.3,5.1,69,14.4,19.212836341850956,11.248725516665651,none,0,0.7314278526365724,0,0,0,0,NA,0
655156_2011_11_palmdale_CA_City Council_synthetic at-large d_2,9376,2011,palmdale city,City Council,California,1,0.62821910129854,0.661098228155886,0.64619527734901006,11,1,3.263651877133106,98471,48.5,51.5,45.6,16.1,53.6,5.4,9.521585035188025,11.497517367567555,none,0,0.6451708689344787,0,0,0,0,1,1
655156_2011_11_palmdale_CA_Mayor_mayor_1,7584,2011,palmdale city,Mayor,California,1,0.62821910129854,0.661098228155886,0.64619527734901006,11,1,61.073429666764966,98471,48.5,51.5,45.6,16.1,53.6,5.4,7.701759909008745,11.497517367567555,none,0,0.6451708689344787,1,0,0,1,1,1
660102_2011_11_redwood city_CA_City Council_synthetic at-large d_4,22676,2011,redwood city city,City Council,California,1,0.75912808404339,0.817807682257643,0.823401419751407,11,1,2.322456813819578,56911,49.2,50.8,77.8,3.4,37.3,12.5,39.84466974750048,10.949243923047078,none,0,0.8001123953508134,0,0,0,0,NA,0
673262_2011_11_south san francisco_CA_City Council_synthetic at-large d_2,10276,2011,south san francisco city,City Council,California,1,0.766231989786613,0.814805046375665,0.782600039816843,11,1,3.047153024911032,48932,49.4,50.6,44.9,3.1,33.7,38.3,21.000572222676368,10.798186858166806,none,0,0.7878790253263737,0,0,0,0,NA,0
681666_2011_11_vallejo_CA_City Council_synthetic at-large d_3,45093,2011,vallejo city,City Council,California,1,0.76100096158249,0.807709569640453,0.781404341666986,11,1,1.5491482441148905,87924,47.7,52.3,41.7,24,23.3,27.6,51.28633820117374,11.384228083947963,none,0,0.783371624296643,0,0,0,0,1,1
681666_2011_11_vallejo_CA_Mayor_mayor_1,18054,2011,vallejo city,Mayor,California,1,0.76100096158249,0.807709569640453,0.781404341666986,11,1,6.037443225877921,87924,47.7,52.3,41.7,24,23.3,27.6,20.533642691415313,11.384228083947963,none,0,0.783371624296643,1,0,0,1,1,1
843000_2011_11_lakewood_CO_Mayor_mayor_1,29480,2011,lakewood city,Mayor,Colorado,1,0.595907853951715,0.590253255352019,0.644539590623009,11,1,64.76255088195387,113809,50,50,89.3,2.7,20.7,3.7,25.903048089342672,11.642276883663218,none,0,0.6102335666422477,1,0,0,1,NA,1
877290_2011_11_thornton_CO_Mayor_mayor_1,15101,2011,thornton city,Mayor,Colorado,1,0.591566487034222,0.53517453798768,0.574958940275369,11,0,36.70906456287232,81840,49.6,50.4,84.7,2.4,29.7,5.3,18.45185728250244,11.312521400625508,none,0,0.5672333217657569,1,0,0,1,NA,1
908000_2011_11_bridgeport_CT_Mayor_mayor_1,12218,2011,bridgeport city,Mayor,Connecticut,0,0.839265864683941,0.83196557553404,0.801479408236705,11,1,43.220986501400795,105722,48.3,51.7,49.8,35.9,36.7,3.9,11.556724239042016,11.568568286435614,none,0,0.8242369494848955,1,0,0,1,NA,1
908420_2011_11_bristol_CT_Mayor_mayor_1,8798,2011,bristol city,Mayor,Connecticut,0,0.610111200275135,0.494990297413964,0.527785363189514,11,1,2.341441236644692,47331,48.8,51.2,90,5.1,9.5,2.3,18.588240265365194,10.764920750925564,none,0,0.5442956202928709,1,0,0,1,NA,1
937000_2011_11_hartford_CT_City Council_synthetic at-large d_9,20142,2011,hartford city,City Council,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,11,1,3.9219670798618167,91628,48,52,35.1,39.8,42.4,2.9,21.982363469681758,11.425492180808465,none,0,0.906031120235734,0,0,0,0,1,1
937000_2011_11_hartford_CT_Mayor_mayor_1,4066,2011,hartford city,Mayor,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,11,1,78.70270270270271,91628,48,52,35.1,39.8,42.4,2.9,4.437508185270878,11.425492180808465,none,0,0.906031120235734,1,0,0,1,1,1
952000_2011_11_new haven_CT_Mayor_mayor_1,15462,2011,new haven city,Mayor,Connecticut,1,0.884686722460982,0.888301221508626,0.8538469058559,11,1,10.707122986349226,100051,47.5,52.5,48.6,36.5,26.3,5.3,15.454118399616195,11.513435334964429,none,0,0.8756116166085026,1,0,0,1,NA,1
980000_2011_11_waterbury_CT_Mayor_mayor_1,16636,2011,waterbury city,Mayor,Connecticut,0,0.638029361942405,0.607515210811141,0.603778337531486,11,1,13.060832286200014,81281,46.6,53.4,62.6,23,30.1,2,20.467267873180695,11.305667565886232,none,0,0.6164409700950108,1,0,0,1,NA,1
2603000_2012_11_ann arbor_MI_Mayor_mayor_1,49914,2012,ann arbor city,Mayor,Michigan,1,0.8246810941169,0.875647215225301,0.885432874836622,11,1,69.33926353327723,98466,49.2,50.8,76.3,9.3,4.3,16.4,50.69160928645421,11.497466589907683,president,0,0.8619203947262744,1,1,0,1,NA,1
2708794_2012_11_burnsville_MN_Mayor_mayor_1,28979,2012,burnsville city,Mayor,Minnesota,1,0.540344180032632,0.564032971451548,0.616331877729258,11,1,14.56572000414093,46229,48.3,51.7,80,11.9,7.5,6.2,62.68576002076619,10.74136258577276,president,0,0.5735696764044792,1,1,0,1,1,1
423620_2012_5_flagstaff_AZ_Mayor_mayor_1,10304,2012,flagstaff city,Mayor,Arizona,1,0.626453211358872,0.67115169586284,0.692409014116771,5,0,3.1055900621118013,52211,49.4,50.6,76.8,2.8,17.8,3.5,19.7353048208232,10.863048479640058,none,0,0.6633379737794943,1,0,0,1,NA,1
427820_2012_11_glendale_AZ_Mayor_mayor_1,58947,2012,glendale city,Mayor,Arizona,1,0.435910734811741,0.487266481176537,0.512533614553124,11,0,6.906203878059952,165904,49.6,50.4,78.9,7,36.6,4.7,35.530788889960455,12.019164586798059,president,0,0.478570276847134,1,1,0,1,NA,1
4419180_2012_11_cranston_RI_Mayor_mayor_1,27772,2012,cranston city,Mayor,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,100,64491,49.4,50.6,83.7,6.2,10.8,5.4,43.06337318385511,11.074280958164245,president,0,0.5746240467689313,1,1,0,1,1,1
4733280_2012_11_hendersonville_TN_Mayor_mayor_1,14321,2012,hendersonville city,Mayor,Tennessee,0,0.303609562998073,0.285794246053957,0.347683406019258,11,1,10.425249633405489,37705,48.8,51.2,89,8,4.2,2.3,37.981700039782524,10.537547990636748,president,0,0.3123624050237626,1,1,0,1,NA,1
4845000_2012_5_lubbock_TX_Mayor_mayor_1,19060,2012,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,1,30.713536201469044,176487,49.2,50.8,80.7,9,32.6,2.9,10.799662298072946,12.081002498251936,none,0,0.34665769847743394,1,0,0,1,NA,1
550450_2012_11_north little rock_AR_Mayor_mayor_1,13816,2012,north little rock city,Mayor,Arkansas,0,0.636007084399959,0.601118037004057,0.63039963039963,11,0,9.467284308048638,46763,48.3,51.7,57.6,41.4,6.2,0.8,29.54472553086842,10.752847570927493,president,0,0.6225082506012153,1,1,0,1,NA,1
602252_2012_11_antioch_CA_City Council_synthetic at-large a_2,47512,2012,antioch city,City Council,California,1,0.699933753852357,0.736044086982425,0.732662586411871,11,1,2.632151403088971,73996,48.4,51.6,55.7,19.7,33,13.9,64.20887615546786,11.21176631667128,president,0,0.722880142415551,0,1,0,0,1,1
602252_2012_11_antioch_CA_Mayor_mayor_1,30792,2012,antioch city,Mayor,California,1,0.699933753852357,0.736044086982425,0.732662586411871,11,0,10.848039431413106,73996,48.4,51.6,55.7,19.7,33,13.9,41.613060165414346,11.21176631667128,president,0,0.722880142415551,1,1,0,1,1,1
602462_2012_4_arcadia_CA_City Council_synthetic at-large a_2,12404,2012,arcadia city,City Council,California,1,0.525364474858673,0.601359140828833,0.606329275018029,4,1,15.813105093307142,44049,47.6,52.4,35.4,1.7,11.8,59,28.15954959249926,10.693057929631047,none,0,0.577684296901845,0,0,0,0,NA,0
622804_2012_11_escondido_CA_City Council_synthetic at-large a_2,64293,2012,escondido city,City Council,California,1,0.458388003748828,0.522029430195121,0.561552923783966,11,1,2.661550268610898,104561,49.2,50.8,83.8,2.3,48,7.1,61.48850909995123,11.557525912139134,president,0,0.5139901192426384,0,1,0,0,1,1
629504_2012_11_gilroy_CA_City Council_synthetic at-large a_3,30395,2012,gilroy city,City Council,California,1,0.684926822596088,0.697460672833323,0.689423305118266,11,0,0.6337509211495947,34207,50.2,49.8,75.4,2.4,57.1,7.8,88.85608208846143,10.440185580469512,president,0,0.690603600182559,0,1,0,0,1,1
629504_2012_11_gilroy_CA_Mayor_mayor_1,15185,2012,gilroy city,Mayor,California,1,0.684926822596088,0.697460672833323,0.689423305118266,11,1,28.212843455538838,34207,50.2,49.8,75.4,2.4,57.1,7.8,44.391498816031806,10.440185580469512,president,0,0.690603600182559,1,1,0,1,1,1
636770_2012_11_irvine_CA_City Council_at-large b_2,159949,2012,irvine city,City Council,California,1,0.584730367353906,0.656538031840611,0.657066910063331,11,1,3.491215015717301,167002,49.6,50.4,56.7,2.7,9.8,41.2,95.77669728506245,12.025761067375084,president,0,0.6327784364192827,0,1,0,0,0,1
636770_2012_11_irvine_CA_Mayor_mayor_1,71197,2012,irvine city,Mayor,California,1,0.584730367353906,0.656538031840611,0.657066910063331,11,1,6.145707474773863,167002,49.6,50.4,56.7,2.7,9.8,41.2,42.63242356378966,12.025761067375084,president,0,0.6327784364192827,1,1,0,1,0,1
