contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
1973335_2011_11_sioux city_IA_Mayor_mayor_1,10492,2011,sioux city city,Mayor,Iowa,1,0.477215560105294,0.44558093346574,0.474094141550965,11,0,1.0484178421654593,60455,49.1,50.9,82.8,4.6,15.9,3.4,17.35505748077082,11.009654565608349,none,0,0.465630211707333,1,0,0,1,1,1,0.6625295141051984,1,58
2079000_2011_4_wichita_KS_Mayor_mayor_1,24679,2011,wichita city,Mayor,Kansas,0,0.4755298008442,0.456367895039552,0.496969333253316,4,1,39.51942947445196,277557,49.2,50.8,77,13.1,14.5,5.6,8.891506969739549,12.53378159648123,none,0,0.476289009712356,1,0,0,1,NA,1,0.701071355968709,1,5
2545000_2011_11_new bedford_MA_Mayor_mayor_1,18915,2011,new bedford city,Mayor,Massachusetts,0,0.752100840336134,0.668358007643148,0.621278957669948,11,0,4.425059476605869,72227,46.8,53.2,81.3,10.7,15.1,1.4,26.18826754537777,11.187569216193683,none,0,0.6805792685497433,1,0,0,1,1,1,0.5114874526925198,1,6
2634000_2011_11_grand rapids_MI_Mayor_mayor_1,17360,2011,grand rapids city,Mayor,Michigan,1,0.664308194704087,0.675904452690167,0.714555984150174,11,1,62.8110599078341,142164,48.7,51.3,69.9,23.9,15.8,2.2,12.211248980051208,11.86473659974276,none,0,0.684922877181476,1,0,0,1,NA,1,0.4685365860552414,1,46
3702140_2011_11_asheville_NC_City Council_at-large a_3,39354,2011,asheville city,City Council,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,1,3.2897064025468694,66347,47.5,52.5,83.3,14.4,6.3,1.7,59.31541742656036,11.102653823967977,none,0,0.7809024036829454,0,0,0,0,1,1,0.7271090561219958,1,65
3774440_2011_11_wilmington_NC_City Council_synthetic at-large d_3,31045,2011,wilmington city,City Council,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,1.4823907090926258,85695,47.5,52.5,74.5,22,5.5,1.3,36.22731781317463,11.358549759826673,none,0,0.5675857558953027,0,0,0,0,1,1,0.6862822345367325,1,23
3774440_2011_11_wilmington_NC_Mayor_mayor_1,11219,2011,wilmington city,Mayor,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,42.57955254479009,85695,47.5,52.5,74.5,22,5.5,1.3,13.091778983604645,11.358549759826673,none,0,0.5675857558953027,1,0,0,1,1,1,0.42571428333482775,1,21
3925256_2011_11_elyria_OH_Mayor_mayor_1,13197,2011,elyria city,Mayor,Ohio,0,0.650897295475609,0.564294815250417,0.549272879047494,11,0,37.53125710388725,41626,47.8,52.2,84.4,16.4,4.3,1,31.70374285302455,10.636480251018195,none,0,0.5881549965911734,1,0,0,1,NA,1,0.4281957934422188,1,7
4263624_2011_11_reading_PA_Mayor_mayor_1,7830,2011,reading city,Mayor,Pennsylvania,0,0.814846954875355,0.806429922252574,0.728532212404564,11,0,16.832694763729247,60769,48.3,51.7,56.9,15.2,55.9,1.5,12.884859056426798,11.014835069506102,none,0,0.783269696510831,1,0,0,1,NA,1,0.5536996757784787,1,8
4550875_2011_11_north charleston_SC_Mayor_mayor_1,7841,2011,north charleston city,Mayor,South Carolina,0,0.621082836215359,0.626045682217502,0.657308046077701,11,0,56.07703099094503,71823,50.2,49.8,47.5,47.2,11.1,2.8,10.917115687175418,11.181960038002089,none,0,0.6348121881701874,1,0,0,1,NA,1,0.40799418114497626,1,9
