...1,fips,state,geo_name,population_2020,mass_ideology_2020,mass_ideology_2020_se,pres_pctD_20,pres_pctD_16,pres_pctD_08,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,geo_type,council.manager
337,1270700,Florida,Tamiami CDP,54212,-0.081178711,0.071240208,0.335233792,0.466379681,0.324582339,0.534797688,0.054032904,0.015847043,0.932610049,0.0080747,City,NA
597,3459190,New Jersey,Plainfield city,54586,-0.226191496,0.077998462,0.902370635,0.923140044,0.933225389,0.500496406,0.089134665,0.41453874,0.461459037,0.010940789,City,0
332,1264175,Florida,Sarasota city,54842,-0.097592011,0.067479219,0.608796132,0.612292467,0.650240027,0.512693477,0.657372758,0.14230749,0.171278483,0.020924472,City,1
826,5157000,Virginia,Norfolk city,238005,-0.162361912,0.050090411,0.733247613,0.725714286,0.712487082,0.477831244,0.434425861,0.411482373,0.080424855,0.045245113,City,1
283,1217100,Florida,Delray Beach city,66846,-0.028539171,0.072771551,0.624921226,0.63661304,0.658928765,0.520867233,0.563745108,0.290880572,0.104138265,0.020933198,City,1
504,2603000,Michigan,Ann Arbor city,123851,-0.549499426,0.060038238,0.885432875,0.875647215,0.824681094,0.502306705,0.675181182,0.068008448,0.047947985,0.184900816,City,1
681,4131250,Oregon,Gresham city,114247,-0.137730021,0.061517026,0.579420662,0.555826975,NA,0.505746918,0.631183594,0.04811121,0.212844136,0.059188734,City,1
173,660102,California,Redwood City city,84292,-0.452144609,0.076191988,0.82340142,0.817807682,0.759128084,0.50202835,0.440571668,0.016821319,0.354436725,0.168516273,City,1
596,3458200,New Jersey,Perth Amboy city,55436,-0.267104664,0.096277802,0.720197694,0.837524865,0.831258862,0.506463098,0.139362978,0.084078331,0.779751538,0.012074771,City,0
302,1239550,Florida,Lauderhill city,74482,-0.260994577,0.058402766,0.892506279,0.913419606,0.913247101,0.549319372,0.091350785,0.799427574,0.080600349,0.010666667,City,1
675,4101000,Oregon,Albany city,56472,0.027316162,0.073358515,0.509855542,0.459029871,NA,0.507576465,0.81046692,0.005325013,0.125838456,0.026662432,City,1
532,2708794,Minnesota,Burnsville city,64317,-0.112085347,0.082205831,0.616331878,0.564032971,0.54034418,0.521113666,0.69189868,0.138115509,0.080262922,0.054704702,City,1
696,4263624,Pennsylvania,Reading city,95112,-0.141806985,0.062808835,0.728532212,0.806429922,0.814846955,0.510551727,0.213119956,0.127697434,0.669655,0.01052906,City,0
449,2148006,Kentucky,Louisville/Jefferson County metro government (balance),386884,0.0165418,0.044954096,0.516941011,0.476667699,0.483013796,0.515359588,0.655797277,0.236028424,0.056229463,0.030534648,City,0
785,4863572,Texas,Rowlett city,62535,0.105977307,0.077878791,0.475965858,0.415631419,0.379713031,0.504788927,0.531735457,0.175348392,0.196604643,0.082077971,City,1
148,652526,California,Norwalk city,102773,-0.124113488,0.079777182,0.709035937,0.778230077,0.707017544,0.501016106,0.103139482,0.047424599,0.697304946,0.142463724,City,1
676,4101650,Oregon,Aloha CDP,53828,-0.310368533,0.079849048,0.683563858,0.648300283,NA,0.499898687,0.591688618,0.04214637,0.215723838,0.119826109,City,0
194,669000,California,Santa Ana city,310227,-0.229333136,0.056361911,0.698623179,0.779095358,0.670860602,0.489570124,0.093601447,0.01142749,0.767616003,0.122436102,City,1
778,4856348,Texas,Pearland city,125828,-4.75E-04,0.068171103,0.496646903,0.480808189,0.374010532,0.506659677,0.422262816,0.179303396,0.231802618,0.151419584,City,1
284,1217200,Florida,Deltona city,93692,0.072111846,0.064695294,0.510472957,0.52120918,0.595386703,0.514861232,0.490304525,0.12526133,0.366602878,0.017886575,City,1
714,4714000,Tennessee,Chattanooga city,181099,-0.044191414,0.047548405,0.589840324,0.562444613,0.505216413,0.531732428,0.572775335,0.313584507,0.063175469,0.029868106,City,0
870,5585300,Wisconsin,West Allis city,60325,-0.033145864,0.058720944,0.556348873,0.516241124,0.533614683,0.511753436,0.735393586,0.068921283,0.136109954,0.031820075,City,1
339,1271569,Florida,The Hammocks CDP,59480,-0.127619265,0.074753027,0.509436009,0.65331603,0.567169979,0.532479355,0.13915079,0.038364003,0.78134144,0.032349307,City,NA
746,4822660,Texas,Edinburg city,100243,-0.079865116,0.065189075,0.596149549,0.683190209,0.701683803,0.503062172,0.074504158,0.018060033,0.883167966,0.023454047,City,1
229,686328,California,Woodland city,61032,-0.11142251,0.088010618,0.640281951,0.632939092,0.57783989,0.506799531,0.392815274,0.018774075,0.482783453,0.086099481,City,1
219,681666,California,Vallejo city,126090,-0.26476267,0.065011219,0.781404342,0.80770957,0.761000962,0.514806172,0.241203295,0.202998343,0.262849745,0.255419859,City,1
170,659920,California,Redding city,93611,0.015009475,0.061613055,0.368130466,0.330934458,0.381735351,0.518923346,0.770375628,0.015046953,0.106780957,0.057206814,City,1
406,1781048,Illinois,Wheaton city,53970,-0.206236731,0.079811701,0.592195465,0.563014623,0.498972749,0.506776797,0.795982729,0.044771917,0.064914586,0.077135348,City,1
119,636770,California,Irvine city,307670,-0.316246714,0.050074151,0.65706691,0.656538032,0.584730367,0.509747142,0.4030466,0.017052464,0.103149471,0.462323865,City,1
54,604758,California,Beaumont city,53036,-0.259112548,0.100091364,0.492645816,0.465783067,0.495589299,0.51584507,0.336373664,0.090785678,0.464576616,0.095091634,City,1
306,1245000,Florida,Miami city,442241,-0.230444022,0.04136907,0.596543779,0.705214823,0.608076883,0.505127906,0.112516757,0.16789462,0.727172068,0.013088873,City,1
163,657456,California,Pittsburg city,76416,-0.112748491,0.081177657,0.780006978,0.809656901,0.785752688,0.508708801,0.190669542,0.154266192,0.434193946,0.194225869,City,1
155,655156,California,Palmdale city,169450,-0.075020573,0.055375719,0.64619527734901006,0.661098228,0.628219101,0.510912197,0.200277684,0.131605382,0.603846621,0.054116307,City,1
466,2423975,Maryland,Dundalk CDP,67796,0.046504543,0.064211514,0.425215724,0.406989183,0.45671755,0.522256606,0.726573038,0.126144569,0.083170674,0.032103467,City,NA
168,659444,California,Rancho Cordova city,79332,0.048028037,0.062715372,0.577316459,0.584888101,0.575078982,0.503137518,0.478884985,0.091377637,0.214417543,0.155057624,City,1
136,646898,California,Merced city,86333,-0.139323648,0.069042878,0.619076503,0.61614788,0.582907381,0.506460042,0.257712129,0.054051438,0.552067455,0.122861774,City,1
291,1230000,Florida,Hialeah city,223109,-0.106478456,0.052694755,0.327025901,0.498377928,0.359791444,0.523955504,0.026797249,0.023066526,0.959119805,0.006975386,City,0
