contest,total.votes,year,city,office,state,council.manager,pop.estimate,turnout
629504_2014_11_gilroy_CA_City Council_synthetic at-large c_3,19711,2014,gilroy city,City Council,California,1,50776,38.81952103355916
650258_2014_11_napa_CA_City Council_synthetic at-large c_2,33274,2014,napa city,City Council,California,1,78511,42.3813223624715
655184_2014_11_palm desert_CA_City Council_synthetic at-large c_2,20310,2014,palm desert city,City Council,California,1,49953,40.65821872560206
656784_2014_11_petaluma_CA_City Council_synthetic at-large c_3,34208,2014,petaluma city,City Council,California,1,58912,58.06626833242803
657456_2014_11_pittsburg_CA_City Council_synthetic at-large c_3,21501,2014,pittsburg city,City Council,California,1,65761,32.69567068627302
659920_2014_11_redding_CA_City Council_synthetic at-large c_3,69305,2014,redding city,City Council,California,1,90725,76.39019013502342
660466_2014_11_rialto_CA_City Council_synthetic at-large c_2,8760,2014,rialto city,City Council,California,1,101367,8.641865695936547
660466_2014_11_rialto_CA_City Council_synthetic at-large c_3,6009,2014,rialto city,City Council,California,1,101367,5.927964722246886
681554_2014_11_vacaville_CA_City Council_synthetic at-large c_2,29322,2014,vacaville city,City Council,California,1,93994,31.195608230312573
685292_2014_4_whittier_CA_City Council_synthetic at-large c_2,9628,2014,whittier city,City Council,California,1,86400,11.143518518518517
686328_2014_6_woodland_CA_City Council_synthetic at-large c_2,11836,2014,woodland city,City Council,California,1,56390,20.9895371519773
1371492_2015_11_smyrna_GA_Mayor_mayor_1,5122,2015,smyrna city,Mayor,Georgia,1,53829,9.515317022422858
1714000_2015_4_chicago_IL_Mayor_mayor_1,590733,2015,chicago city,Mayor,Illinois,0,2717534,21.7378329029186
1805860_2015_11_bloomington_IN_Mayor_mayor_1,8070,2015,bloomington city,Mayor,Indiana,0,82813,9.744846823566348
1827000_2015_11_gary_IN_Mayor_mayor_1,9683,2015,gary city,Mayor,Indiana,0,78483,12.337703706535173
1840788_2015_11_lafayette_IN_Mayor_mayor_1,5125,2015,lafayette city,Mayor,Indiana,0,70661,7.252940094252841
1851876_2015_11_muncie_IN_Mayor_mayor_1,3269,2015,muncie city,Mayor,Indiana,0,70173,4.658486882419164
1973335_2015_11_sioux city_IA_Mayor_mayor_1,2126,2015,sioux city city,Mayor,Iowa,1,82792,2.5678809546816117
2079000_2015_4_wichita_KS_Mayor_mayor_1,35770,2015,wichita city,Mayor,Kansas,0,387147,9.239384523191449
2360545_2015_11_portland_ME_Mayor_mayor_1,17930,2015,portland city,Mayor,Maine,1,66490,26.96646112197323
2545000_2015_11_new bedford_MA_Mayor_mayor_1,12198,2015,new bedford city,Mayor,Massachusetts,0,94909,12.852311161217585
