contest,total.votes,year,city,office,state,council.manager,pop.estimate,turnout
656784_2018_11_petaluma_CA_Mayor_mayor_1,27016,2018,petaluma city,Mayor,California,1,60635,44.555124927846954
669000_2018_11_santa ana_CA_Mayor_mayor_1,56034,2018,santa ana city,Mayor,California,1,333499,16.801849480808038
669084_2018_11_santa clara_CA_Mayor_mayor_1,31461,2018,santa clara city,Mayor,California,1,126209,24.927699292443485
681554_2018_11_vacaville_CA_Mayor_mayor_1,30907,2018,vacaville city,Mayor,California,1,97943,31.556109165535055
2708794_2018_11_burnsville_MN_City Council_synthetic at-large c_2,38382,2018,burnsville city,City Council,Minnesota,1,61283,62.63074588385034
2735180_2018_11_lakeville_MN_City Council_synthetic at-large c_2,37897,2018,lakeville city,City Council,Minnesota,0,62489,60.64587367376658
3451000_2018_5_newark_NJ_City Council_synthetic at-large c_4,78400,2018,newark city,City Council,New Jersey,0,280463,27.95377643396812
4419180_2018_11_cranston_RI_City Council_synthetic at-large c_3,71534,2018,cranston city,City Council,Rhode Island,0,81196,88.1003990344352
4848072_2018_11_midland_TX_City Council_synthetic at-large c_2,32738,2018,midland city,City Council,Texas,1,135134,24.22632350111741
602252_2018_11_antioch_CA_City Council_synthetic at-large c_2,45023,2018,antioch city,City Council,California,1,110730,40.66016436376773
622230_2018_11_el monte_CA_City Council_synthetic at-large c_2,24716,2018,el monte city,City Council,California,1,115669,21.367868659710034
629504_2018_11_gilroy_CA_City Council_synthetic at-large c_1,14659,2018,gilroy city,City Council,California,1,55525,26.40072039621792
629504_2018_11_gilroy_CA_City Council_synthetic at-large c_3,35397,2018,gilroy city,City Council,California,1,55525,63.74966231427285
650258_2018_11_napa_CA_City Council_synthetic at-large c_2,50618,2018,napa city,City Council,California,1,79516,63.65762865335278
655184_2018_11_palm desert_CA_City Council_synthetic at-large c_2,30160,2018,palm desert city,City Council,California,1,52124,57.86202133374262
657456_2018_11_pittsburg_CA_City Council_synthetic at-large c_3,39733,2018,pittsburg city,City Council,California,1,70492,56.36526130624752
659920_2018_11_redding_CA_City Council_synthetic at-large c_3,75920,2018,redding city,City Council,California,1,91327,83.12985207003405
660102_2018_11_redwood city_CA_City Council_synthetic at-large c_3,69746,2018,redwood city city,City Council,California,1,85217,81.8451717380335
660466_2018_11_rialto_CA_City Council_synthetic at-large c_2,28949,2018,rialto city,City Council,California,1,102873,28.14052278051578
670000_2018_11_santa monica_CA_City Council_synthetic at-large c_3,10276,2018,santa monica city,City Council,California,1,92078,11.16010339060362
673262_2018_11_south san francisco_CA_City Council_synthetic at-large c_3,44339,2018,south san francisco city,City Council,California,1,67294,65.88848931554077
681554_2018_11_vacaville_CA_City Council_synthetic at-large c_2,47321,2018,vacaville city,City Council,California,1,97943,48.314836180227275
681666_2018_11_vallejo_CA_City Council_synthetic at-large c_3,79927,2018,vallejo city,City Council,California,1,120977,66.06793026773684
1371492_2019_12_smyrna_GA_Mayor_mayor_1,7375,2019,smyrna city,Mayor,Georgia,1,56268,13.106916897703847
1714000_2019_4_chicago_IL_Mayor_mayor_1,523804,2019,chicago city,Mayor,Illinois,0,2709534,19.331885113824
1805860_2019_11_bloomington_IN_Mayor_mayor_1,1,2019,bloomington city,Mayor,Indiana,0,84116,0.0011888344666888583
1827000_2019_11_gary_IN_Mayor_mayor_1,6100,2019,gary city,Mayor,Indiana,0,76010,8.025259834232337
1840788_2019_11_lafayette_IN_Mayor_mayor_1,3600,2019,lafayette city,Mayor,Indiana,0,72581,4.959975751229661
1851876_2019_11_muncie_IN_Mayor_mayor_1,11583,2019,muncie city,Mayor,Indiana,0,68750,16.848
1973335_2019_11_sioux city_IA_Mayor_mayor_1,9401,2019,sioux city city,Mayor,Iowa,1,82531,11.390871308962693
2079000_2019_11_wichita_KS_Mayor_mayor_1,49569,2019,wichita city,Mayor,Kansas,0,389877,12.714009803091745
2360545_2019_11_portland_ME_Mayor_mayor_1,16902,2019,portland city,Mayor,Maine,1,66595,25.38028380509047
2545000_2019_11_new bedford_MA_Mayor_mayor_1,9261,2019,new bedford city,Mayor,Massachusetts,0,95239,9.723957622402587
2634000_2019_11_grand rapids_MI_Mayor_mayor_1,28193,2019,grand rapids city,Mayor,Michigan,1,198401,14.210109828075462
2670040_2019_11_royal oak_MI_Mayor_mayor_1,12954,2019,royal oak city,Mayor,Michigan,1,59195,21.88360503420897
2757220_2019_11_st. louis park_MN_Mayor_mayor_1,6524,2019,st. louis park city,Mayor,Minnesota,1,48677,13.402633687367752
2915670_2019_4_columbia_MO_Mayor_mayor_1,16091,2019,columbia city,Mayor,Missouri,1,121230,13.273117215210755
3757500_2019_11_rocky mount_NC_Mayor_mayor_1,9861,2019,rocky mount city,Mayor,North Carolina,1,54548,18.077656376035787
3774440_2019_11_wilmington_NC_Mayor_mayor_1,14924,2019,wilmington city,Mayor,North Carolina,1,120194,12.416593174368105
3925256_2019_11_elyria_OH_Mayor_mayor_1,8075,2019,elyria city,Mayor,Ohio,0,53821,15.003437320005203
4263624_2019_11_reading_PA_Mayor_mayor_1,8103,2019,reading city,Mayor,Pennsylvania,0,88232,9.18374285973343
455000_2019_3_phoenix_AZ_Mayor_mayor_1,142134,2019,phoenix city,Mayor,Arizona,1,1633017,8.703767321466954
4550875_2019_11_north charleston_SC_Mayor_mayor_1,12017,2019,north charleston city,Mayor,South Carolina,0,111501,10.777481816306581
4748000_2019_10_memphis_TN_Mayor_mayor_1,96291,2019,memphis city,Mayor,Tennessee,0,651932,14.770098721952596
4803000_2019_5_amarillo_TX_Mayor_mayor_1,16733,2019,amarillo city,Mayor,Texas,1,198955,8.410444572893368
4848072_2019_11_midland_TX_Mayor_mayor_1,21457,2019,midland city,Mayor,Texas,1,138549,15.486939638683786
636770_2019_4_irvine_CA_Mayor_mayor_1,1,2019,irvine city,Mayor,California,1,273157,3.660898311227609e-4
843000_2019_11_lakewood_CO_Mayor_mayor_1,44337,2019,lakewood city,Mayor,Colorado,1,155146,28.577597875549483
877290_2019_11_thornton_CO_Mayor_mayor_1,27091,2019,thornton city,Mayor,Colorado,1,136868,19.79352368705614
908000_2019_11_bridgeport_CT_Mayor_mayor_1,15997,2019,bridgeport city,Mayor,Connecticut,0,145639,10.984008404342244
908420_2019_11_bristol_CT_Mayor_mayor_1,11911,2019,bristol city,Mayor,Connecticut,0,60218,19.77980005978279
937000_2019_11_hartford_CT_Mayor_mayor_1,9986,2019,hartford city,Mayor,Connecticut,0,123088,8.112894839464447
952000_2019_11_new haven_CT_Mayor_mayor_1,17430,2019,new haven city,Mayor,Connecticut,1,130331,13.3736409603241
980000_2019_11_waterbury_CT_Mayor_mayor_1,10890,2019,waterbury city,Mayor,Connecticut,0,108276,10.057630499833758
1840788_2019_11_lafayette_IN_City Council_synthetic at-large d_1,10466,2019,lafayette city,City Council,Indiana,0,72581,14.41975172565823
2537490_2019_11_lynn_MA_City Council_synthetic at-large d_4,26043,2019,lynn city,City Council,Massachusetts,1,93743,27.781274335150357
2545000_2019_11_new bedford_MA_City Council_synthetic at-large d_5,36417,2019,new bedford city,City Council,Massachusetts,0,95239,38.237486743875934
2757220_2019_11_st. louis park_MN_City Council_synthetic at-large d_1,12007,2019,st. louis park city,City Council,Minnesota,1,48677,24.666680362388806
3774440_2019_11_wilmington_NC_City Council_synthetic at-large d_3,38469,2019,wilmington city,City Council,North Carolina,1,120194,32.005757358936386
937000_2019_11_hartford_CT_City Council_synthetic at-large d_9,46016,2019,hartford city,City Council,Connecticut,0,123088,37.384635382815546
1938595_2020_1_iowa city_IA_Mayor_mayor_1,7,2020,iowa city city,Mayor,Iowa,1,75849,0.009228862608603937
2708794_2020_11_burnsville_MN_Mayor_mayor_1,30863,2020,burnsville city,Mayor,Minnesota,1,61536,50.15438117524701
423620_2020_11_flagstaff_AZ_Mayor_mayor_1,32024,2020,flagstaff city,Mayor,Arizona,1,73319,43.67762789999863
427820_2020_8_glendale_AZ_Mayor_mayor_1,37761,2020,glendale city,Mayor,Arizona,1,250290,15.086899196931558
4419180_2020_11_cranston_RI_Mayor_mayor_1,39986,2020,cranston city,Mayor,Rhode Island,0,81252,49.21232708117954
455000_2020_11_phoenix_AZ_Mayor_mayor_1,575129,2020,phoenix city,Mayor,Arizona,1,1658422,34.67929151928762
4824000_2020_12_el paso_TX_Mayor_mayor_1,54290,2020,el paso city,Mayor,Texas,1,679879,7.985244433200614
4845000_2020_11_lubbock_TX_Mayor_mayor_1,87636,2020,lubbock city,Mayor,Texas,1,257013,34.097886099146734
4856348_2020_11_pearland_TX_Mayor_mayor_1,50286,2020,pearland city,Mayor,Texas,1,125817,39.967571949736524
5157000_2020_5_norfolk_VA_Mayor_mayor_1,12254,2020,norfolk city,Mayor,Virginia,1,244300,5.015963978714695
535710_2020_11_jonesboro_AR_Mayor_mayor_1,25103,2020,jonesboro city,Mayor,Arkansas,0,77391,32.43658823377395
550450_2020_12_north little rock_AR_Mayor_mayor_1,10653,2020,north little rock city,Mayor,Arkansas,0,66079,16.12161200986698
602252_2020_11_antioch_CA_Mayor_mayor_1,44539,2020,antioch city,Mayor,California,1,111468,39.95675889044389
622230_2020_11_el monte_CA_Mayor_mayor_1,26531,2020,el monte city,Mayor,California,1,113917,23.289763599813902
622678_2020_11_encinitas_CA_Mayor_mayor_1,38117,2020,encinitas city,Mayor,California,1,62967,60.53488335159687
629504_2020_11_gilroy_CA_Mayor_mayor_1,23302,2020,gilroy city,Mayor,California,1,55227,42.19313017183624
636770_2020_11_irvine_CA_Mayor_mayor_1,118380,2020,irvine city,Mayor,California,1,272694,43.41129617813373
646898_2020_11_merced_CA_Mayor_mayor_1,27236,2020,merced city,Mayor,California,1,84081,32.392573827618605
648354_2020_11_modesto_CA_Mayor_mayor_1,83733,2020,modesto city,Mayor,California,1,214485,39.03909364291209
650258_2020_11_napa_CA_Mayor_mayor_1,39613,2020,napa city,Mayor,California,1,78294,50.59519247962807
655156_2020_11_palmdale_CA_Mayor_mayor_1,57417,2020,palmdale city,Mayor,California,1,153240,37.46867658574784
658072_2020_11_pomona_CA_Mayor_mayor_1,45739,2020,pomona city,Mayor,California,1,151124,30.265874381302773
660466_2020_11_rialto_CA_Mayor_mayor_1,33017,2020,rialto city,Mayor,California,1,103549,31.885387594279035
669000_2020_11_santa ana_CA_Mayor_mayor_1,89205,2020,santa ana city,Mayor,California,1,332610,26.819698746279425
677000_2020_11_sunnyvale_CA_Mayor_mayor_1,51139,2020,sunnyvale city,Mayor,California,1,152569,33.51860469689124
681554_2020_11_vacaville_CA_Mayor_mayor_1,51182,2020,vacaville city,Mayor,California,1,99958,51.20350547229836
681666_2020_NA_vallejo_CA_Mayor_mayor_1,1,2020,vallejo city,Mayor,California,1,121275,8.245722531436818e-4
685292_2020_3_whittier_CA_Mayor_mayor_1,20758,2020,whittier city,Mayor,California,1,84821,24.47271312528737
2708794_2020_11_burnsville_MN_City Council_synthetic at-large a_2,38790,2020,burnsville city,City Council,Minnesota,1,61536,63.03627145085804
2735180_2020_11_lakeville_MN_City Council_synthetic at-large a_2,54936,2020,lakeville city,City Council,Minnesota,0,65710,83.60371328564906
622230_2020_11_el monte_CA_City Council_synthetic at-large a_2,40777,2020,el monte city,City Council,California,1,113917,35.79535977948857
629504_2020_11_gilroy_CA_City Council_synthetic at-large a_3,50912,2020,gilroy city,City Council,California,1,55227,92.18679269198037
652526_2020_3_norwalk_CA_City Council_synthetic at-large a_3,33954,2020,norwalk city,City Council,California,1,104524,32.48440549538862
657456_2020_11_pittsburg_CA_City Council_synthetic at-large a_2,44345,2020,pittsburg city,City Council,California,1,71723,61.828144388829244
659920_2020_11_redding_CA_City Council_synthetic at-large a_2,75567,2020,redding city,City Council,California,1,92025,82.1157294213529
660466_2020_11_rialto_CA_City Council_synthetic at-large a_2,50843,2020,rialto city,City Council,California,1,103549,49.10042588532965
1217100_2021_3_delray beach_FL_Mayor_mayor_1,7393,2021,delray beach city,Mayor,Florida,1,66434,11.128337899268447
1230000_2021_11_hialeah_FL_Mayor_mayor_1,22155,2021,hialeah city,Mayor,Florida,0,224362,9.874666833064422
1245000_2021_11_miami_FL_Mayor_mayor_1,27330,2021,miami city,Mayor,Florida,1,440807,6.199992286873847
1756640_2021_4_orland park_IL_Mayor_mayor_1,13805,2021,orland park village,Mayor,Illinois,1,58622,23.54917948892907
2053775_2021_11_overland park_KS_Mayor_mayor_1,39773,2021,overland park city,Mayor,Kansas,1,195249,20.37039882406568
2071000_2021_11_topeka_KS_Mayor_mayor_1,15342,2021,topeka city,Mayor,Kansas,1,126802,12.099178246399898
2208920_2021_3_bossier city_LA_Mayor_mayor_1,8226,2021,bossier city city,Mayor,Louisiana,0,63168,13.022416413373861
2537490_2021_11_lynn_MA_Mayor_mayor_1,12542,2021,lynn city,Mayor,Massachusetts,1,100233,12.512845070984605
2670040_2021_11_royal oak_MI_Mayor_mayor_1,14628,2021,royal oak city,Mayor,Michigan,1,58368,25.06167763157895
2674900_2021_11_southfield_MI_Mayor_mayor_1,15601,2021,southfield city,Mayor,Michigan,1,76196,20.474828074964567
2686000_2021_11_westland_MI_Mayor_mayor_1,12071,2021,westland city,Mayor,Michigan,0,84961,14.207695295488518
2965126_2021_11_st. peters_MO_Mayor_mayor_1,2302,2021,st. peters city,Mayor,Missouri,1,57289,4.018223393670687
3915000_2021_11_cincinnati_OH_Mayor_mayor_1,52460,2021,cincinnati city,Mayor,Ohio,1,308664,16.995827177772593
4714000_2021_4_chattanooga_TN_Mayor_mayor_1,26631,2021,chattanooga city,Mayor,Tennessee,0,180353,14.766042150671183
648354_2021_2_modesto_CA_Mayor_mayor_1,33760,2021,modesto city,Mayor,California,1,217728,15.505584950029395
908420_2021_11_bristol_CT_Mayor_mayor_1,13241,2021,bristol city,Mayor,Connecticut,0,60733,21.801985740865756
952000_2021_11_new haven_CT_Mayor_mayor_1,12621,2021,new haven city,Mayor,Connecticut,1,133874,9.42752140072008
